index,na_x,na_y
543,0.588000,-0.247000
544,0.247000,0.588000
545,0.247000,-0.588000
546,-0.247000,0.588000
547,0.588000,0.247000
548,-0.588000,-0.247000
549,-0.470000,0.441000
550,0.470000,0.441000
551,-0.441000,0.470000
552,0.441000,-0.470000
553,-0.470000,-0.441000
554,0.470000,-0.441000
555,0.441000,0.470000
556,-0.441000,-0.470000
557,-0.523000,-0.377000
558,0.523000,0.377000
559,0.377000,-0.523000
560,-0.523000,0.377000
561,-0.377000,0.523000
562,-0.377000,-0.523000
563,0.523000,-0.377000
564,0.377000,0.523000
565,0.032000,0.649000
566,0.649000,-0.032000
567,-0.032000,0.649000
568,-0.032000,-0.649000
569,0.649000,0.032000
570,-0.649000,0.032000
571,0.032000,-0.649000
572,-0.649000,-0.032000
573,-0.578000,-0.304000
574,-0.578000,0.304000
575,0.304000,-0.578000
576,-0.304000,-0.578000
577,-0.304000,0.578000
578,0.578000,-0.304000
579,0.578000,0.304000
580,0.304000,0.578000
581,-0.646000,0.097000
582,0.646000,-0.097000
583,0.097000,0.646000
584,-0.097000,-0.646000
585,-0.646000,-0.097000
586,-0.097000,0.646000
587,0.097000,-0.646000
588,0.646000,0.097000
589,0.511000,-0.426000
590,-0.426000,-0.511000
591,0.426000,0.511000
592,0.426000,-0.511000
593,-0.511000,-0.426000
594,-0.511000,0.426000
595,0.511000,0.426000
596,-0.426000,0.511000
597,-0.160000,0.641000
598,0.641000,0.160000
599,-0.160000,-0.641000
600,0.160000,-0.641000
601,0.160000,0.641000
602,-0.641000,-0.160000
603,0.641000,-0.160000
604,-0.641000,0.160000
605,-0.358000,0.567000
606,-0.358000,-0.567000
607,0.567000,-0.358000
608,-0.567000,0.358000
609,0.567000,0.358000
610,0.358000,-0.567000
611,0.358000,0.567000
612,-0.567000,-0.358000
613,-0.633000,0.221000
614,-0.633000,-0.221000
615,-0.221000,-0.633000
616,-0.221000,0.633000
617,0.633000,-0.221000
618,0.633000,0.221000
619,0.221000,-0.633000
620,0.221000,0.633000
621,-0.499000,-0.470000
622,-0.499000,0.470000
623,0.470000,0.499000
624,0.499000,-0.470000
625,-0.470000,-0.499000
626,0.470000,-0.499000
627,-0.470000,0.499000
628,0.499000,0.470000
629,0.280000,0.623000
630,0.623000,0.280000
